"","LO","HI","INIT","PRIOR","PR_SD","PR_type","PHASE","env_var&link","dev_link","dev_minyr","dev_maxyr","dev_PH","Block","Block_Fxn"
"NatM_p_1_Fem_GP_1",0.01,1.8,0.2,0.1,0.8,0,-3,0,0,0,0,0,0,0
"L_at_Amin_Fem_GP_1",1,100,20,30.8,0.2,0,4,0,0,0,0,0,0,0
"L_at_Amax_Fem_GP_1",6.6,660,132,120.1,0.2,0,4,0,0,0,0,0,0,0
"VonBert_K_Fem_GP_1",0.001,1,0.2,0.25,0.8,0,4,0,0,0,0,0,0,0
"CV_young_Fem_GP_1",0.001,0.5,0.1,0.1,0.8,0,5,0,0,0,0,0,0,0
"CV_old_Fem_GP_1",0.001,0.5,0.1,0.1,0.8,0,5,0,0,0,0,0,0,0
"Wtlen_1_Fem_GP_1",0,3,6.8e-06,6.8e-06,0,0,-3,0,0,0,0,0,0,0
"Wtlen_2_Fem_GP_1",2.5,3.5,3.101,3.101,0.2,0,-3,0,0,0,0,0,0,0
"Mat50%_Fem_GP_1",10,50,38.18,0,0,0,-99,0,0,0,0,0,0,0
"Mat_slope_Fem_GP_1",-2,2,-0.276,0,0,0,-99,0,0,0,0,0,0,0
"Eggs_alpha_Fem_GP_1",-3,3,1,0,0,0,-99,0,0,0,0,0,0,0
"Eggs_beta_Fem_GP_1",-3,4,0,0,0,0,-99,0,0,0,0,0,0,0
"RecrDist_GP_1",-4,4,0,0,0,0,-99,0,0,0,0,0,0,0
"RecrDist_Area_1",-4,4,0,0,0,0,-99,0,0,0,0,0,0,0
"RecrDist_month_1",-4,4,0,0,0,0,-99,0,0,0,0,0,0,0
"CohortGrowDev",-4,4,1,0,0,0,-99,0,0,0,0,0,0,0
"FracFemale_GP_1",1e-06,0.999999,0.5,0.5,0.5,0,-99,0,0,0,0,0,0,0
